36185.500000 	 59867.620000 	 0.000799 	 
36335.120000 	 59459.300000 	 0.000444 	 
33015.160000 	 59370.570000 	 -0.000258 	 
33402.150000 	 59891.020000 	 -0.000095 	 
33267.660000 	 58984.910000 	 -0.000276 	 
33568.810000 	 59440.970000 	 -0.000551 	 
34187.750000 	 60191.330000 	 -0.000212 	 
33444.360000 	 58514.250000 	 -0.000169 	 
33756.380000 	 58927.820000 	 -0.000156 	 
34098.020000 	 59344.840000 	 -0.000444 	 
34693.140000 	 60131.640000 	 -0.000154 	 
33606.190000 	 58102.220000 	 -0.000299 	 
33881.550000 	 58439.320000 	 -0.000260 	 
34310.560000 	 58847.540000 	 -0.000288 	 
34569.110000 	 59225.980000 	 -0.000304 	 
35165.120000 	 60055.290000 	 -0.000375 	 
34091.860000 	 57981.640000 	 0.005106 	 
34438.290000 	 58399.380000 	 -0.000248 	 
34770.520000 	 58816.860000 	 0.001776 	 
35023.300000 	 59152.930000 	 -0.000254 	 
35365.620000 	 59590.530000 	 0.002775 	 
35694.360000 	 59987.400000 	 0.001509 	 
35941.530000 	 60310.540000 	 0.001354 	 
34595.580000 	 57944.570000 	 -0.000204 	 
34967.250000 	 58314.040000 	 -0.000825 	 
35260.220000 	 58690.050000 	 -0.000170 	 
35837.660000 	 59481.260000 	 -0.000840 	 
34839.280000 	 57440.750000 	 -0.000060 	 
35093.230000 	 57847.970000 	 -0.000067 	 
35706.020000 	 58622.730000 	 -0.000131 	 
36065.840000 	 59140.110000 	 -0.000051 	 
34669.490000 	 56578.170000 	 -0.000722 	 
34666.040000 	 56579.120000 	 -0.000722 	 
35010.110000 	 57015.460000 	 -0.000202 	 
35274.170000 	 57412.610000 	 -0.000438 	 
35604.330000 	 57774.180000 	 -0.000205 	 
35889.540000 	 58183.070000 	 -0.000616 	 
36202.900000 	 58564.710000 	 -0.000183 	 
36490.240000 	 58948.210000 	 -0.000041 	 
35491.680000 	 56903.360000 	 -0.000176 	 
35746.400000 	 57283.450000 	 0.002142 	 
36118.410000 	 57680.960000 	 0.000888 	 
36263.170000 	 58082.300000 	 0.001410 	 
36672.940000 	 58462.450000 	 -0.000254 	 
35963.770000 	 56867.480000 	 -0.000376 	 
36264.120000 	 57278.490000 	 -0.000165 	 
36592.080000 	 57614.490000 	 -0.000308 	 
36843.800000 	 58004.830000 	 -0.000666 	 
33019.260000 	 58641.960000 	 -0.000173 	 
32805.590000 	 57742.500000 	 -0.000247 	 
32804.450000 	 57743.340000 	 -0.000247 	 
33148.010000 	 58121.280000 	 -0.000300 	 
33008.200000 	 57328.580000 	 -0.000243 	 
33320.220000 	 57704.470000 	 -0.000694 	 
33774.730000 	 57597.450000 	 -0.000483 	 
34027.480000 	 57158.990000 	 -0.000162 	 
34312.480000 	 57511.910000 	 -0.000168 	 
35414.060000 	 58241.460000 	 -0.000277 	 
36551.390000 	 57391.240000 	 -0.000069 	 
34088.950000 	 59169.860000 	 -0.000085 	 
33503.000000 	 57188.000000 	 -0.000173 	 
