55418.9	60355.6	3.98
57050.2	60215.4	19.8
58054.5	57832.6	12.4
59635.8	57728.8	8.59
55613.5	62398.3	9.98
53157.4	63149.1	5.58
54464.6	61574.5	7.89
57740.2	55545.9	7.38
57923.1	57074.4	11.51
57795.7	57449.2	9.99
58525.3	57745.0	9.48
57932.0	58263.3	5.65
58190.7	58530.6	6.91
57245.6	58658.2	10.6
57523.1	59048.2	9.9
57777.7	59453.6	13.28
56974.7	59538.5	8.33
57205.7	59725.3	15.71
59236.2	57346.8	12.05
56660.2	60281.2	14.99
58874.2	58921.8	13.99
58636.8	57377.6	13.92
58205.1	57390.0	14.09
58790.9	58159.8	9.97
58302.8	58204.3	9.36
58435.8	58929.8	15.12
58651.6	59310.0	9.18
58191.1	59396.9	13.08
58209.8	59790.3	21.18
57773.5	59812.5	12.92
57977.1	59017.7	14.94
57717.4	58607.6	14.67
57369.0	59311.6	4.84
56811.0	59892.2	10.88
57463.2	58276.2	6.33
57623.8	57876.8	8
57542.6	60342.2	16.57
56982.0	60615.8	12.61
56249.1	60126.7	11.78
57164.6	58343.4	9.68
57278.1	57511.0	11.48
58171.5	60239.0	9.1
56508.3	60757.6	13.07
