170	65134,5	47120,7	4253,6	4303,5	49,9
171	66706,3	44672,6	4257,2	4301,3	44,1
172	63240	46723,9	4248,1	4290,8	42,7
173	63932,9	43461,3	4262	4304,5	42,5
174	63916,1	51217,8	4258,2	4303,4	45,2
175	67089,2	47458	4253	4298,9	45,9
176	63322,5	40993	4281,4	4324	42,6
177	66090,3	50332,6	4267	4310,7	43,7
178	62418,3	49245,2	4260,4	4304,9	44,5
180	61628,7	52663,6	4291,5	4334	42,5
184	69394,9	44821,9	4277,6	4322,9	45,3
191	72039,8	45948,9	4285,2	4329,4	44,2
846	63522,8	42787,4	4262,8	4305,2	42,4
861	63923,9	44151,3	4257,2	4298,5	41,3
869	64196,2	44778,5	4252,9	4291,4	38,5
894	63838,2	48963,1	4245,9	4288,2	42,3
901	65330,5	48161,5	4251,9	4298,3	46,4
903	62938,4	47817,2	4251,8	4292,2	40,4
904	66068,3	49449,1	4250,6	4293,9	43,3
907	67822,7	47963,5	4271	4314,5	43,5
908	67521,9	47478,8	4255,5	4302,6	47,1
909	66325,8	47320,5	4232,7	4277,2	44,5
910	64899,9	47082,6	4262,4	4311,2	48,8
911	64018,8	47353,9	4253,9	4296,9	43
912	62710,4	46744	4263,2	4304,9	41,7
914	67283,2	48084,8	4265,3	4312,1	46,8
915	64029,5	50031,5	4250,1	4294,5	44,4
916	66542,7	47818	4248,6	4293,4	44,8
917	67146,7	46381,8	4252,4	4300	47,6
918	65988,1	46104,1	4255,2	4300,4	45,2
919	65042,2	46112,4	4250,5	4294,9	44,4
921	62596,9	47948,8	4257,2	4298	40,8
922	65149,3	47691,3	4262,1	4307,3	45,2
923	64394,6	47631,9	4258,8	4301,4	42,6
925	62297,3	47261,6	4291,4	4335,3	43,9
926	67389,3	48789,3	4276,5	4323,3	46,8
927	66799,4	45234,4	4256,6	4302,9	46,3
929	63170,1	44667,1	4252,1	4292,9	40,8
943	63997,7	42633,8	4268,4	4312,8	44,4
952	63640,1	43160,7	4262,7	4304	41,3
962	63250,2	43685,5	4255,8	4297,9	42,1
964	68218,8	45035,1	4275,5	4321,7	46,2
965	67374,9	44998,5	4262,7	4308,6	45,9
966	66778,1	44953,6	4253,9	4297,9	44
969	64685,9	44523,5	4258,9	4302,7	43,8
971	63288,5	44147,9	4260,3	4300,3	40
974	67662,3	45657,7	4270,7	4315,8	45,1
976	65720,6	45453,9	4254,3	4298	43,7
978	64198,9	45086,8	4252	4292,4	40,4
988	65983,1	46761,6	4252,6	4294	41,4
998	64911,1	48955,1	4254,2	4298	43,8
999	64221,5	48790,3	4250,5	4291,7	41,2
1005	65897,1	49581,6	4247,5	4291,4	43,9
1010	62365,4	48881,4	4260,7	4305,3	44,6
1014	65451,1	50204,8	4243,2	4288,8	45,6
1015	64733,4	50113,5	4262,6	4309,8	47,2
1016	63275,1	49907,7	4241,5	4286	44,5
1017	62677,1	49830,8	4251,2	4293,8	42,6
1024	62843,4	50471,2	4265,5	4306,6	41,1
1025	62111,8	50192,7	4268,7	4309,6	40,9
1026	65624,8	51434,1	4250,9	4294,9	44
1029	63041,5	51176,2	4269	4313,5	44,5
1030	62541,7	51474,9	4334,5	4354,7	20,2
2001	64557,5	43713,1	4261,3	4303,1	41,8
2003	65608,5	47011,2	4245	4289,6	44,6
2073	63067,6	47871,3	4239	4278,5	39,5
2083	63131,3	48623,4	4237,5	4276,5	39
2093	62677,9	48965,9	4253	4294,1	41,1
2103	62448,5	49576,6	4264,8	4305,4	40,6
2111	62659,9	50359,8	4261,2	4303,7	42,5
10	63834,9	34931,3	4248,8	4296,2	47,4
11	65646,7	33105,5	4272,3	4322,3	50,0
12	67991,4	30684,1	4281,9	4342,3	60,4
13	62612,5	32350,5	4341,1	4391,2	50,1
14	63636,7	37874,6	4272,6	4312	39,4
15	65560,9	41147	4283,5	4325,5	42,0
16	70829,8	34878,5	4241,2	4292,7	51,5
17	71175,9	37522,7	4259,4	4307,6	48,2
20	68068,3	42039,9	4270,2	4315,2	45,0
22	66857,2	36093,3	4277,6	4319,4	41,8
423	70474	41224,2	4266,6	4311,9	45,3
2108	64958,9	34113,9	4281,1	4329,1	48,0
2110	63393,2	34151,4	4256,4	4304,3	47,9
2117	64657,6	35897,3	4267,4	4314,4	47,0
2118	64195,8	35384,1	4263,9	4310	46,1
2119	63385	35444,1	4250,6	4296	45,4
2129	63313,5	36561,6	4263,3	4307,2	43,9
2159	66534,2	41572,1	4267,2	4311,2	44,0
