55418.9	60355.6	16.3
57050.2	60215.4	21
58054.5	57832.6	20.6
59635.8	57728.8	16.6
55613.5	62398.3	23.8
53157.4	63149.1	17.4
54464.6	61574.5	18.9
57740.2	55545.9	21.9
57923.1	57074.4	22.9
57795.7	57449.2	24.8
58525.3	57745.0	27.1
57932.0	58263.3	20.7
58190.7	58530.6	21.4
57245.6	58658.2	21.6
57523.1	59048.2	21
57777.7	59453.6	22
56974.7	59538.5	21.9
57205.7	59725.3	22
59236.2	57346.8	24.5
56660.2	60281.2	23.1
58874.2	58921.8	21
58342.6	56969.2	22.8
58636.8	57377.6	26.1
58205.1	57390.0	22
58790.9	58159.8	21.9
58302.8	58204.3	25
58435.8	58929.8	25
58651.6	59310.0	19.2
58191.1	59396.9	23.5
58209.8	59790.3	22.8
57773.5	59812.5	21.3
57977.1	59017.7	24.1
57717.4	58607.6	22.6
57369.0	59311.6	17.5
56811.0	59892.2	22.9
57463.2	58276.2	20.3
57623.8	57876.8	21.1
57542.6	60342.2	21.5
56982.0	60615.8	19.4
56249.1	60126.7	21
57164.6	58343.4	17.6
57278.1	57511.0	22.3
58171.5	60239.0	19.9
56508.3	60757.6	22
		
		
		
