ИД скважины	Скважина	X	Y	Эфф. толщина	Эфф.нефт.толщина		Коэфф. нефтенасыщенности		Коэфф. пористости (общие толщины)						
8200000943	943	63994,8	42632,3												
8200000962	962	63249,5	43683,9	1,2	1,2		0,924		0,086						
8200000964	964	68218,8	45035,1												
8200000969	969	64685,9	44523,5												
8200000986	986	67516,1	46935,9												
8200001026	1026	65622,8	51434,2	0,7	0,7		0,95		0,143						
1670000010	10	63834,9	34931,3												
1670000011	11	65646,7	33105,5												
1670000012	12	67991,4	30684,1												
1670000013	13	62612,5	32350,5												
1670000014	14	63636,7	37874,6	2,4					0,106						
1670000015	15	65560,9	41147	2	2		0,924		0,065						
1670000016	16	70829	34878,6	4,4					0,094						
1670000017	17	71174,3	37522,9												
1670000020	20	68068,3	42039,9												
1670000022	22	66857,2	36093,3												
1670000423	423	70473,3	41224,1												
1670002108	2108	64958,9	34113,9												
1670002110	2110	63393,2	34151,4												
1670002117	2117	64657,6	35897,3												
1670002118	2118	64195,8	35384,1												
1670002119	2119	63385	35444,1												
1670002129	2129	63313,5	36561,6												
1670002159	2159	66534,2	41572,1	1	1		0,928		0,076						
8670002122	2122	64203,8	36289,6												
8670002131	2131	63468,9	37056,2	0,7	0,7		0,897		0,087						
